location,date,cases
Wuhan,2020-01-24,495
Wuhan,2020-01-25,572
Wuhan,2020-01-26,618
Wuhan,2020-01-27,698
Wuhan,2020-01-28,1590
Wuhan,2020-01-29,1905
Wuhan,2020-01-30,2261
Wuhan,2020-01-31,2639
Wuhan,2020-02-01,3215
Wuhan,2020-02-02,4109
Wuhan,2020-02-03,5142
Wuhan,2020-02-04,6384
Wuhan,2020-02-05,8351
Wuhan,2020-02-06,10117
Wuhan,2020-02-07,11618
Wuhan,2020-02-08,13603
Wuhan,2020-02-09,14982
Wuhan,2020-02-10,16902
Wuhan,2020-02-11,18454
Wuhan,2020-02-12,19558
Wuhan,2020-02-13,32994
Wuhan,2020-02-14,35991
Wuhan,2020-02-15,37914
Wuhan,2020-02-16,39462
Wuhan,2020-02-17,41152
Wuhan,2020-02-18,42752
Wuhan,2020-02-19,44412
